"","id","County","county.name","rank","education","income","unemployment","disability","life","obesity","polyname"
"1",1001,"Autauga, Alabama","Autauga",415,"21.7","53773","6.5","1.6","76.1",38,"alabama,autauga"
"2",1003,"Baldwin, Alabama","Baldwin",2756,"27.7","50706","6.8","1","77.7",34,"alabama,baldwin"
"3",1005,"Barbour, Alabama","Barbour",2159,"14.5","31889","11.2","2.9","74.7",47,"alabama,barbour"
"4",1007,"Bibb, Alabama","Bibb",2006,"9","36824","7.6","2.6","74.2",43,"alabama,bibb"
"5",1009,"Blount, Alabama","Blount",1115,"12.4","45192","6.2","1.4","75.9",40,"alabama,blount"
"6",1011,"Bullock, Alabama","Bullock",2317,"11.9","34500","13.4","3.8","71.8",49,"alabama,bullock"
"7",1013,"Butler, Alabama","Butler",2203,"12.9","30752","10.9","3.2","73.8",45,"alabama,butler"
"8",1015,"Calhoun, Alabama","Calhoun",1615,"16","40093","7.6","2.4","73.3",40,"alabama,calhoun"
"9",1017,"Chambers, Alabama","Chambers",2187,"11","32181","9.3","2.6","73.3",44,"alabama,chambers"
"10",1019,"Cherokee, Alabama","Cherokee",1762,"13.1","36241","7.1","2.2","74.7",41,"alabama,cherokee"
"11",1021,"Chilton, Alabama","Chilton",1720,"12.5","40834","6.5","2.1","73.9",43,"alabama,chilton"
"12",1023,"Choctaw, Alabama","Choctaw",2083,"11.9","35123","9","3.3","75.1",46,"alabama,choctaw"
"13",1025,"Clarke, Alabama","Clarke",2238,"12.7","30954","12.1","3.1","74.9",44,"alabama,clarke"
"14",1027,"Clay, Alabama","Clay",2129,"8.8","34556","9.3","2.6","74.2",42,"alabama,clay"
"15",1029,"Cleburne, Alabama","Cleburne",1740,"9.5","37244","6.9","2.1","74.2",39,"alabama,cleburne"
"16",1031,"Coffee, Alabama","Coffee",672,"22.6","44626","6.2","1.5","76.3",39,"alabama,coffee"
"17",1033,"Colbert, Alabama","Colbert",1555,"18","40158","7.6","2.3","74.1",41,"alabama,colbert"
"18",1035,"Conecuh, Alabama","Conecuh",2322,"9.7","27064","11.6","3.6","73.8",45,"alabama,conecuh"
"19",1037,"Coosa, Alabama","Coosa",2082,"9.7","37425","8.2","2.7","73.9",45,"alabama,coosa"
"20",1039,"Covington, Alabama","Covington",1770,"13.8","35321","7.5","2.1","74.9",41,"alabama,covington"
"21",1041,"Crenshaw, Alabama","Crenshaw",1934,"11","37309","7.2","2.4","73.3",43,"alabama,crenshaw"
"22",1043,"Cullman, Alabama","Cullman",1329,"14.2","39244","6.4","1.7","75",39,"alabama,cullman"
"23",1045,"Dale, Alabama","Dale",1255,"17.5","45247","7.3","2.1","75.7",42,"alabama,dale"
"24",1047,"Dallas, Alabama","Dallas",2329,"13.3","26178","13.7","6.2","72",48,"alabama,dallas"
"25",1049,"DeKalb, Alabama","DeKalb",1828,"9.9","36853","8.5","1.7","74.7",40,"alabama,de kalb"
"26",1051,"Elmore, Alabama","Elmore",531,"21.1","55514","6.8","1.7","75.7",38,"alabama,elmore"
"27",1053,"Escambia, Alabama","Escambia",2056,"12.2","31075","8.9","2.1","74.4",43,"alabama,escambia"
"28",1055,"Etowah, Alabama","Etowah",1672,"15.2","37660","7.2","2.7","72.8",39,"alabama,etowah"
"29",1057,"Fayette, Alabama","Fayette",2092,"11.6","33090","8","2.7","73.1",43,"alabama,fayette"
"30",1059,"Franklin, Alabama","Franklin",1790,"12.2","37235","8.2","1.9","72.8",39,"alabama,franklin"
"31",1061,"Geneva, Alabama","Geneva",1910,"10.9","33618","6.9","2.6","75.2",42,"alabama,geneva"
"32",1063,"Greene, Alabama","Greene",2338,"11.6","23777","11.4","5.4","74",51,"alabama,greene"
"33",1065,"Hale, Alabama","Hale",2298,"11.7","29409","9.9","3.8","72.5",50,"alabama,hale"
"34",1067,"Henry, Alabama","Henry",1529,"15.8","40680","7.3","1.8","75.2",44,"alabama,henry"
"35",1069,"Houston, Alabama","Houston",1165,"19.3","41828","7","2.1","76.2",40,"alabama,houston"
"36",1071,"Jackson, Alabama","Jackson",1585,"13.2","37059","7.1","1.7","73.5",39,"alabama,jackson"
"37",1073,"Jefferson, Alabama","Jefferson",805,"29.3","45415","6.8","2.5","74.8",39,"alabama,jefferson"
